#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]      sigma_2 [au^2]      sigma_3 [au^2]    sigma_tot [au^2]
    0.000000000000E0                 NaN                 NaN                 NaN                 NaN                 NaN
   5.000000000000E-2    3.454792566167E0   2.228053494628E-4   2.716483298753E-9  9.251450146966E-15    3.455015374233E0
   1.000000000000E-1    3.082275187690E0   8.718572921679E-4   4.254913401906E-8  5.815797530083E-13    3.083147087532E0
   1.500000000000E-1    2.769024257635E0   1.918262963123E-3   2.108770908943E-7  6.506901657737E-12    2.770942731481E0
   2.000000000000E-1    2.502300101112E0   3.333407046729E-3   6.524792921805E-7  3.591052271911E-11    2.505634160674E0
   2.500000000000E-1    2.272760998102E0   5.089040305154E-3   1.559540779285E-6  1.345533751344E-10    2.277851598083E0
   3.000000000000E-1    2.073401278263E0   7.157364047242E-3   3.166052471836E-6  3.946323341378E-10    2.080561808757E0
   3.500000000000E-1    1.898864239552E0   9.511110005486E-3   5.742579114831E-6  9.774214693088E-10    1.908381093114E0
   4.000000000000E-1    1.744984098084E0   1.212361503541E-2   9.591372374135E-6   2.139143586010E-9    1.757117306631E0
   4.500000000000E-1    1.608472581382E0   1.496889023289E-2   1.504180777300E-5   4.259507909477E-9    1.623456517683E0
   5.000000000000E-1    1.486699538970E0   1.802168429188E-2   2.244612578430E-5   7.872392078537E-9    1.504743677260E0
   5.500000000000E-1    1.377536239603E0   2.125754052099E-2   3.217545845183E-5   1.369819067470E-8    1.398825969280E0
   6.000000000000E-1    1.279241416608E0   2.465284754161E-2   4.461612585397E-5   2.267738814435E-8    1.303938902953E0
   6.500000000000E-1    1.190377019916E0   2.818488351446E-2   6.016618552655E-5   3.600495076821E-8    1.218622105621E0
   7.000000000000E-1    1.109745045671E0   3.183185379269E-2   7.923222151683E-5   5.516517148451E-8    1.141656186850E0
   7.500000000000E-1    1.036339515618E0   3.557292224848E-2   1.022263593739E-4   8.196663367754E-8    1.072014746192E0
   8.000000000000E-1   9.693095492767E-1   3.938823587356E-2   1.295634921854E-4   1.185769732905E-7    1.008827467219E0
   8.500000000000E-1   9.079306379972E-1   4.325894344385E-2   1.616587149183E-4   1.675571843485E-7   9.513514077132E-1
   9.000000000000E-1   8.515820706077E-1   4.716720785389E-2   1.989249421188E-4   2.318951943721E-7   8.989484352989E-1
   9.500000000000E-1   7.997290338517E-1   5.109621308155E-2   2.417707104933E-4   3.150385247299E-7   8.510673326823E-1
    1.000000000000E0   7.519082948540E-1   5.503016508937E-2   2.905981530254E-4   4.209257610570E-7   8.072294790222E-1
    1.050000000000E0   7.077166471790E-1   5.895428800719E-2   3.458011397840E-4   5.540167384703E-7   7.670172903427E-1
    1.100000000000E0   6.668015283057E-1   6.285481529004E-2   4.077635642285E-4   7.193212564012E-7   7.300648264812E-1
    1.150000000000E0   6.288533478641E-1   6.671897652616E-2   4.768577865776E-4   9.224261350043E-7   6.960501046029E-1
    1.200000000000E0   5.935991600496E-1   7.053498008753E-2   5.534432086126E-4   1.169520598532E-6   6.646887528664E-1
    1.250000000000E0   5.607974268701E-1   7.429199225193E-2   6.378649884662E-4   1.467419717213E-6   6.357287515302E-1
    1.300000000000E0   5.302336521315E-1   7.798011293024E-2   7.304528795288E-4   1.823586089185E-6   6.089460415273E-1
    1.350000000000E0   5.017167236752E-1   8.159034880164E-2   8.315201880934E-4   2.246149332156E-6   5.841408388143E-1
    1.400000000000E0   4.750758354501E-1   8.511458350718E-2   9.413628482614E-4   2.743923670745E-6   5.611345257292E-1
    1.450000000000E0   4.501578796724E-1   8.854554605851E-2   1.060258595393E-3   3.326423368486E-6   5.397670107497E-1
    1.500000000000E0   4.268252320171E-1   9.187677789658E-2   1.188466268375E-3   4.003876023310E-6   5.198944800580E-1
    1.550000000000E0   4.049538614079E-1   9.510259768107E-2   1.326225188838E-3   4.787233749113E-6   5.013874715115E-1
    1.600000000000E0   3.844317092214E-1   9.821806579791E-2   1.473754632331E-3   5.688181988419E-6   4.841292178336E-1
    1.650000000000E0   3.651572920088E-1   1.012189477348E-1   1.631253414759E-3   6.719146667629E-6   4.680142123050E-1
    1.700000000000E0   3.470385018216E-1   1.041016772769E-1   1.798899519843E-3   7.893298345980E-6   4.529469719166E-1
    1.750000000000E0   3.299915592498E-1   1.068633192414E-1   1.976849871964E-3   9.224555100837E-6   4.388409529183E-1
    1.800000000000E0   3.139401065319E-1   1.095015325224E-1   2.165240115279E-3   1.072758285055E-5   4.256176067525E-1
    1.850000000000E0   2.988144170627E-1   1.120145331989E-1   2.364184511973E-3   1.241779359045E-5   4.132055525671E-1
    1.900000000000E0   2.845506993729E-1   1.144010583060E-1   2.573775907924E-3   1.431134090366E-5   4.015398449278E-1
    1.950000000000E0   2.710904933995E-1   1.166603300295E-1   2.794085739560E-3   1.642511532709E-5   3.905613342839E-1
    2.000000000000E0   2.583801331596E-1   1.187920208834E-1   3.025164106662E-3   1.877673563990E-5   3.802160948853E-1
    2.050000000000E0   2.463702752552E-1   1.207962199169E-1   3.267039937507E-3   2.138453904508E-5   3.704549196487E-1
    2.100000000000E0   2.350154818198E-1   1.226733994473E-1   3.519721167363E-3   2.426757037483E-5   3.612328700048E-1
    2.150000000000E0   2.242738501034E-1   1.244243835266E-1   3.783195001790E-3   2.744556644858E-5   3.525088741983E-1
    2.200000000000E0   2.141066822289E-1   1.260503172217E-1   4.057428201106E-3   3.093894409009E-5   3.442453665958E-1
    2.250000000000E0   2.044781945173E-1   1.275526373181E-1   4.342367417982E-3   3.476878031784E-5   3.364079680337E-1
    2.300000000000E0   1.953552539374E-1   1.289330441716E-1   4.637939600298E-3   3.895679422326E-5   3.289651945034E-1
    2.350000000000E0   1.867071449552E-1   1.301934751677E-1   4.944052386924E-3   4.352532751152E-5   3.218881978373E-1
    2.400000000000E0   1.785053590634E-1   1.313360791277E-1   5.260594613436E-3   4.849732250863E-5   3.151505301270E-1
    2.450000000000E0   1.707234056932E-1   1.323631924234E-1   5.587436779400E-3   5.389629808972E-5   3.087279311941E-1
    2.500000000000E0   1.633366442778E-1   1.332773162468E-1   5.924431568318E-3   5.974632674684E-5   3.025981384197E-1
    2.550000000000E0   1.563221299814E-1   1.340810951863E-1   6.271414424672E-3   6.607200603726E-5   2.967407115985E-1
    2.600000000000E0   1.496584756522E-1   1.347772973647E-1   6.628204122576E-3   7.289843422976E-5   2.911368755738E-1
    2.650000000000E0   1.433257280821E-1   1.353687955370E-1   6.994603368532E-3   8.025118047636E-5   2.857693781681E-1
    2.700000000000E0   1.373052527010E-1   1.358585496125E-1   7.370399455708E-3   8.815625610092E-5   2.806223580253E-1
    2.750000000000E0   1.315796320391E-1   1.362495903890E-1   7.755364880762E-3   9.664008234873E-5   2.756812273912E-1
    2.800000000000E0   1.261325727603E-1   1.365450044620E-1   8.149257999133E-3   1.057294621348E-4   2.709325646836E-1
    2.850000000000E0   1.209488197417E-1   1.367479202655E-1   8.551823739670E-3   1.154515446842E-4   2.663640152915E-1
    2.900000000000E0   1.160140792752E-1   1.368614951585E-1   8.962794249276E-3   1.258337960300E-4   2.619642024791E-1
    2.950000000000E0   1.113149475937E-1   1.368889036374E-1   9.381889634254E-3   1.369039602216E-4   2.577226448256E-1
    3.000000000000E0   1.068388462582E-1   1.368333263835E-1   9.808818637837E-3   1.486900297878E-4   2.536296813093E-1
    3.050000000000E0   1.025739637887E-1   1.366979404974E-1   1.024327935221E-2   1.612202092429E-4   2.496764038476E-1
    3.100000000000E0   9.850920053507E-2   1.364859103876E-1   1.068495994132E-2   1.745228793645E-4   2.458545937433E-1
    3.150000000000E0   9.463411940810E-2   1.362003797808E-1   1.113353936812E-2   1.886265591187E-4   2.421566651161E-1
    3.200000000000E0   9.093890008813E-2   1.358444641470E-1   1.158868808578E-2   2.035598724999E-4   2.385756121934E-1
    3.250000000000E0   8.741429628472E-2   1.354212443005E-1   1.205006879603E-2   2.193515111132E-4   2.351049608924E-1
    3.300000000000E0   8.405159767827E-2   1.349337603752E-1   1.251733714068E-2   2.360301991792E-4   2.317387253934E-1
    3.350000000000E0   8.084259434720E-2   1.343850066336E-1   1.299014239026E-2   2.536246508515E-4   2.284713680219E-1
    3.400000000000E0   7.777954332402E-2   1.337779268795E-1   1.346812817186E-2   2.721635377951E-4   2.252977619131E-1
    3.450000000000E0   7.485513866710E-2   1.331154104727E-1   1.395093317448E-2   2.916754538196E-4   2.222131577681E-1
    3.500000000000E0   7.206248269065E-2   1.324002886898E-1   1.443819180169E-2   3.121888717675E-4   2.192131520539E-1
    3.550000000000E0   6.939506018171E-2   1.316353318068E-1   1.492953492213E-2   3.337321106725E-4   2.162936590213E-1
    3.600000000000E0   6.684671464735E-2   1.308232465808E-1   1.542459043065E-2   3.563332996697E-4   2.134508849585E-1
    3.650000000000E0   6.441162542081E-2   1.299666740793E-1   1.592298396372E-2   3.800203378118E-4   2.106813038016E-1
    3.700000000000E0   6.208428724845E-2   1.290681880090E-1   1.642433955757E-2   4.048208619789E-4   2.079816356770E-1
    3.750000000000E0   5.985949092788E-2   1.281302932861E-1   1.692828023024E-2   4.307622021848E-4   2.053488266464E-1
    3.800000000000E0   5.773230490257E-2   1.271554250794E-1   1.743442862724E-2   4.578713612873E-4   2.027800299705E-1
    3.850000000000E0   5.569805906177E-2   1.261459479733E-1   1.794240759920E-2   4.861749626878E-4   2.002725895970E-1
    3.900000000000E0   5.375232927276E-2   1.251041555901E-1   1.845184076810E-2   5.156992281290E-4   1.978240248591E-1
    3.950000000000E0   5.189092247589E-2   1.240322703652E-1   1.896235311206E-2   5.464699355284E-4   1.954320158887E-1
    4.000000000000E0   5.010986380490E-2   1.229324435459E-1   1.947357150330E-2   5.785123887104E-4   1.930943912428E-1
    4.050000000000E0   4.840538299814E-2   1.218067553886E-1   1.998512522918E-2   6.118513832924E-4   1.908091149992E-1
    4.100000000000E0   4.677390331914E-2   1.206572156228E-1   2.049664649570E-2   6.465111765306E-4   1.885742766142E-1
    4.150000000000E0   4.521203054483E-2   1.194857639390E-1   2.100777092142E-2   6.825154508676E-4   1.863880808561E-1
    4.200000000000E0   4.371654235945E-2   1.182942707603E-1   2.151813797284E-2   7.198872876652E-4   1.842488383803E-1
